,subject,session,scan,site,bg_mean,bg_size,bg_std,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,ghost_x,ghost_y,ghost_z,snr
1330,25436,session_5,rest_1,HNU_1,77.2961192779,139997,174.4096779637,0.4708292169,71.1302934609,1573.1738369132,36131,336.7688315802,2.5693832816,2.4166283636,2.7330589091,2.5681911044,0.0200728,0.00785336,,9.0199916385
1331,25436,session_6,rest_1,HNU_1,73.9784375755,139835,172.2930804926,0.4657725458,77.3681254751,1610.1685788487,36293,356.5458268351,2.5987209004,2.4388741818,2.7885236364,2.5805646335,0.0259455,0.0135221,,9.3455208662
1332,25436,session_10,rest_1,HNU_1,75.6853586928,139997,172.3461315972,0.4688312069,73.9247375684,1580.8365989105,36131,346.1570983831,2.5679380068,2.3992116364,2.7536116364,2.5631999281,0.0171897,0.0102911,,9.1724518808
1333,25436,session_3,rest_1,HNU_1,74.539181036,139428,174.878063038,0.4671652194,76.0622964234,1616.5643911781,36700,367.6555394138,2.6841410214,2.5016494545,2.908224,2.6580411019,0.026185,0.0134455,,9.2439518319
1334,25436,session_9,rest_1,HNU_1,76.159352806,139634,171.6548123566,0.4703184688,74.9486718865,1586.9595125336,36494,352.5593604072,2.5866944621,2.4597381818,2.7565061818,2.5526293402,0.0223149,0.0122769,,9.2450627556
1335,25436,session_8,rest_1,HNU_1,80.498736252,139469,180.7307530929,0.474113368,69.2305458222,1608.1662003248,36659,351.1911127498,2.5608459411,2.419584,2.7351912727,2.5375940465,0.022046,0.0101506,,8.8981325691
1336,25436,session_1,rest_1,HNU_1,81.4589545556,139681,185.5010903692,0.4700992878,73.6098832598,1698.1096580023,36447,370.7517882448,2.5848550215,2.4658676364,2.7533032727,2.5438146345,0.0218036,0.0106982,,9.154176154
1337,25436,session_7,rest_1,HNU_1,72.6625416546,139713,166.2493174376,0.4669089062,77.4395173466,1555.4283386522,36415,359.9155372546,2.7047894728,2.5557294545,2.8830050909,2.6855940423,0.0210541,0.0136063,,9.3559983441
1338,25436,session_4,rest_1,HNU_1,75.0233272018,140065,170.3346589976,0.4686014305,75.0024693384,1577.1423781362,36063,332.4305736866,2.5312338661,2.3897309091,2.7122007273,2.5022175769,0.0176126,0.00889981,,9.2590808437
1339,25436,session_2,rest_1,HNU_1,76.6730768688,140168,175.4731743651,0.4651270913,80.3667417687,1677.0838376142,35960,366.0950801188,2.5976113965,2.4412043636,2.809408,2.5556646342,0.0198542,0.0131401,,9.5574941508
1340,25437,session_5,rest_1,HNU_1,79.0718560183,139627,176.0292195806,0.4691745953,83.9595638511,1731.1698609985,36501,359.3839078284,2.4933384686,2.3466501818,2.6909323636,2.4546675782,0.0174748,0.00789911,,9.8345596551
1341,25437,session_6,rest_1,HNU_1,76.4597880528,139493,171.2046652125,0.4687279496,84.3617103482,1683.7613951104,36635,361.173391845,2.5915529213,2.4050036364,2.7790283636,2.6041852211,0.0187926,0.00647541,,9.8347868793
1342,25437,session_10,rest_1,HNU_1,73.0994137582,139684,167.5621581296,0.4676079159,78.5126602363,1580.3020206808,36444,355.3157029944,2.7110698488,2.5310923636,2.9234036364,2.6929440421,0.0238585,0.0117535,,9.4311390968
1343,25437,session_3,rest_1,HNU_1,76.3329515388,139681,173.3489384851,0.4666314503,83.5735807572,1691.7266478972,36447,368.7576712034,2.634814814,2.4363956364,2.8435403636,2.6402352201,0.0171415,0.00723513,,9.7590828227
1344,25437,session_9,rest_1,HNU_1,71.9973656237,139728,162.7747265458,0.4660819325,85.9665759499,1612.9295316778,36400,348.5276152624,2.545099745,2.3786618182,2.7555054545,2.5152411059,0.0177949,0.00930511,,9.9089678472
1345,25437,session_8,rest_1,HNU_1,73.8637912284,139574,167.3141631532,0.4665770764,88.2837234286,1682.6554287283,36554,348.3917987614,2.4614957068,2.3238312727,2.6142836364,2.4549293429,0.0173767,0.00680193,,10.056861876
1346,25437,session_1,rest_1,HNU_1,76.3204655139,139803,175.2161571902,0.4632285821,90.3532072042,1775.3247893754,36325,384.7025937178,2.5675146435,2.4250269091,2.7746501818,2.5154381647,0.0177447,0.00996257,,10.1321979539
1347,25437,session_7,rest_1,HNU_1,77.1221935321,139198,174.3871788499,0.471216191,80.1482630849,1671.1285824585,36930,347.874845448,2.4778608892,2.3275985455,2.6878574545,2.4317381671,0.0156776,0.00886246,,9.5828637947
1348,25437,session_4,rest_1,HNU_1,76.9822326624,139564,174.3310770246,0.4685842851,81.586487154,1683.7031467708,36564,357.4141342206,2.5189884468,2.3667985455,2.7001163636,2.5011234593,0.0183432,0.00423321,,9.6580780404
