,Unnamed: 0,subject,session,scan,site,dvars,mean_fd,num_fd,outlier,perc_fd,quality,gcor
122,122,21001,session_1,rest_1400_1,NKI_1,1.1527331671,0.2122497093,1,0.0059704455,0.2469135802,0.0074211716,0.0333320138
121,121,21001,session_1,rest_645_1,NKI_1,1.0613510065,0.0939077945,0,0.0014959556,0,0.0042553103,0.0346883222
123,123,21001,session_2,rest_2500_1,NKI_1,1.2477160376,0.0526829828,0,0.0061601667,0,0.0023389501,0.0396282342
124,124,21001,session_2,rest_645_1,NKI_1,1.0818588679,0.0641193798,0,0.0011428365,0,0.004074318,0.0449824143
131,131,21002,session_2,rest_1400_1,NKI_1,1.0665002762,0.0839317001,0,0.0010937469,0,0.0062680629,0.0097406198
128,128,21002,session_1,rest_1400_1,NKI_1,1.1031201219,0.0612131042,0,0.0006779901,0,0.0040027555,0.0106204072
129,129,21002,session_2,rest_2500_1,NKI_1,1.1144677402,0.042542925,0,0.0072303333,0,0.0054242146,0.0134153612
126,126,21002,session_1,rest_2500_1,NKI_1,1.1732575101,0.0304411782,0,0.0012039167,0,0.0035677917,0.0182223821
127,127,21002,session_1,rest_645_1,NKI_1,1.0620657302,0.0337019682,0,0.0002235706,0,0.0038748979,0.0202106671
130,130,21002,session_2,rest_645_1,NKI_1,1.0291498643,0.041621486,0,0.0004740267,0,0.0049169878,0.021868932
135,135,21006,session_2,rest_2500_1,NKI_1,1.1609888527,0.1055787858,0,0.0056440833,0,0.0037799372,0.0168390864
136,136,21006,session_2,rest_645_1,NKI_1,0.9930763468,0.0443849712,0,0.0003101557,0,0.0042254799,0.0168530248
137,137,21006,session_2,rest_1400_1,NKI_1,1.0678709414,0.1127672697,0,0.0006278164,0,0.0036532305,0.0186545721
134,134,21006,session_1,rest_1400_1,NKI_1,1.0835472297,0.1094549225,0,0.0004133168,0,0.0029898847,0.0251839969
133,133,21006,session_1,rest_645_1,NKI_1,1.1003129026,0.0450476833,0,0.0004811889,0,0.0020488585,0.0291457591
132,132,21006,session_1,rest_2500_1,NKI_1,1.201177538,0.0972012404,0,0.0012980833,0,0.0026397293,0.0348721109
139,139,21018,session_1,rest_645_1,NKI_1,1.0183816481,0.0502239642,0,0.0002231591,0,0.005672681,0.0055153974
138,138,21018,session_1,rest_2500_1,NKI_1,1.0060624771,0.0291047649,0,0.0025374167,0,0.0044362012,0.0058958997
140,140,21018,session_1,rest_1400_1,NKI_1,1.1027546597,0.1321969341,0,0.0006240199,0,0.0041218256,0.0092396945
141,141,21018,session_2,rest_2500_1,NKI_1,1.0276070039,0.0300840694,0,0.0014515833,0,0.004176805,0.009772788
143,143,21018,session_2,rest_1400_1,NKI_1,1.086705743,0.124145981,0,0.0002250868,0,0.003676004,0.0132793617
142,142,21018,session_2,rest_645_1,NKI_1,1.0358739875,0.0526513569,0,0.0006446162,0,0.0047810903,0.0179661029
149,149,21024,session_2,rest_1400_1,NKI_1,1.0957554885,0.098712099,0,0.0003512129,0,0.0036357256,0.0199686394
147,147,21024,session_2,rest_2500_1,NKI_1,1.1649538008,0.0383889768,0,0.0011928333,0,0.00222986,0.0298840243
145,145,21024,session_1,rest_645_1,NKI_1,1.0545355222,0.0504523958,0,0.0013605006,0,0.0045452282,0.0304473742
144,144,21024,session_1,rest_2500_1,NKI_1,1.1237817457,0.0567348148,0,0.0014083333,0,0.0031402313,0.0329577221
146,146,21024,session_1,rest_1400_1,NKI_1,1.0461786052,0.1398733226,0,0.0013765012,0,0.0092104257,0.0509807863
148,148,21024,session_2,rest_645_1,NKI_1,1.0528044088,0.0662233274,0,0.0006522778,0,0.0063060601,0.0582343546
151,151,25000,session_1,rest_2,NYU_2,1.027256053,0.0274455646,0,0.0061447222,0,0.0107359324,0.4963815945
153,153,25000,session_2,rest_2,NYU_2,1.0225334271,0.0283760167,0,0.0064738333,0,0.0105230467,0.4993284979
150,150,25000,session_1,rest_1,NYU_2,1.0158054586,0.0324384977,0,0.0060423333,0,0.0101608854,0.5230299406
152,152,25000,session_2,rest_1,NYU_2,0.9995060869,0.0224316024,0,0.0060810556,0,0.0096080232,0.530456162
155,155,25001,session_1,rest_2,NYU_2,0.931078797,0.0866137457,1,0.0079605556,0.5524861878,0.0171574897,0.1894109679
154,154,25001,session_1,rest_1,NYU_2,0.9245666651,0.0810581956,0,0.0061806111,0,0.0119867373,0.4648248536
156,156,25001,session_2,rest_1,NYU_2,1.0014522148,0.0394062073,0,0.0061282222,0,0.0099798612,0.5050329123
158,158,25002,session_1,rest_2,NYU_2,0.876068965,0.0467417238,0,0.0058992778,0,0.0090462357,0.4951296034
