,subject,session,scan,site,bg_mean,bg_size,bg_std,cnr,csf_mean,csf_size,csf_std,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,gm_mean,gm_size,gm_std,qi1,snr,wm_mean,wm_size,wm_std
1413,25634,session_1,anat_1,SWU_4,2.4571239119,4307647,4.1397218766,27.3305974107,226.9110692183,262575,53.6418081281,0.3843880812,1868.3999102625,110.5321481425,7226689,175.3249211077,6.37628,6.17337,6.26841,6.69919,340.7554783085,577368,41.8783609972,0.1443639648,26.700380228,453.8965503091,511756,44.2159725732
1414,25634,session_2,anat_1,SWU_4,2.1788482043,4882116,3.9859494747,27.8197564643,219.694698154,264191,48.9661002076,0.3857957698,2191.2014475434,118.1134054026,6652220,175.8204722306,6.17744,6.00636,6.1467,6.38516,331.6553480446,569180,39.8585710772,0.0746774554,29.6324391848,442.5434917097,504326,41.7329257335
1415,25635,session_1,anat_1,SWU_4,1.2605705913,5362589,2.8440032614,32.423075636,170.9937284939,275213,49.1260923861,0.4016295524,3024.3303395424,102.7292564928,6171747,136.0128579189,6.35379,6.35639,6.39215,6.31308,261.0106076051,589577,32.4400825998,0.0608017881,36.1213567817,353.2219404581,507911,37.903463943
1416,25635,session_2,anat_1,SWU_4,2.6881891753,5657925,5.666392128,18.8524589823,194.202892503,273189,48.0126146571,0.487459443,1561.6927538784,181.1121498789,5876411,169.5415722111,5.22055,4.8225,4.963,5.94474,299.6214501936,582074,38.9779064565,0.13621089,31.9625161459,406.4468753637,506987,45.9447734863
1417,25636,session_1,anat_1,SWU_4,3.2852716709,5450188,10.7932981991,9.5419558499,218.7871623801,279086,48.4028331813,0.4093416899,419.9925229242,141.167677773,6084148,183.0044592229,6.1112903643,5.8914603512,6.19629,6.2523403727,320.7087945274,609288,40.9585507165,0.1465274225,13.0791974027,423.6979694182,568704,45.434670287
1418,25636,session_2,anat_1,SWU_4,2.9975401562,5869377,10.3079579495,10.4761346447,218.5864092489,273848,50.5460694604,0.4111465432,516.7078877403,155.1540164267,5664959,188.2970216843,5.91893,5.65515,6.0373803599,6.0735,326.635528883,607365,42.1589834563,0.1395272445,15.05186742,434.6230842744,571324,46.7129405201
1419,25637,session_1,anat_1,SWU_4,2.4847291121,5461663,5.086819102,17.5964024729,183.7346218493,280219,42.2424314101,0.475213086,2207.5235983791,186.200342302,6072673,189.8105826328,5.1656303079,4.4985802681,5.0308202999,6.090530363,281.0173523426,575369,34.6811270443,0.1313334418,36.6044749317,370.5270685688,512347,39.2042270729
1420,25637,session_2,anat_1,SWU_4,2.703383128,6018801,9.017212805,10.6400811203,183.5275473691,268846,43.5466282312,0.3982763584,530.5777284751,135.4892723051,5515535,169.2885564358,5.8492,5.58618,5.92861,6.04255,281.5601044193,584566,34.4797014334,0.1225411839,15.0256265695,377.5039801433,511665,38.3999501805
1421,25638,session_1,anat_1,SWU_4,2.2972934641,6182697,4.8744246362,24.0435197776,220.5622855708,286808,48.1470944077,0.3910405001,2022.3318966692,151.4198950269,5351639,189.086865251,6.2591459294,5.6998803397,6.0586996139,7.1006789189,339.2891001463,588329,42.6379172528,0.1342394751,31.0641575831,456.4874252922,512497,45.7177741743
1422,25638,session_2,anat_1,SWU_4,3.0327512012,6528951,10.8647197174,10.0479152798,200.7277313961,276690,45.350021837,0.3980091299,434.9598856028,153.5578625184,5005385,178.1627798325,6.15081,5.72278,5.93256,6.85406,311.1723969503,608056,38.5570948276,0.1326632716,14.1336239233,420.3401802094,529828,40.2986444036
1423,25639,session_1,anat_1,SWU_4,2.8955681286,4998483,9.7302768769,8.8032018105,155.8946138545,362467,55.0168460814,0.4357662578,308.9131262608,111.646007408,6535853,139.1086341582,6.06395,5.9704,5.99821,6.22646,253.5351254589,659180,28.2561469361,0.1119791745,11.474083299,339.1927164788,576754,30.8065937477
1424,25639,session_2,anat_1,SWU_4,3.1219485802,5204498,5.6240079608,18.8161503119,183.3937809133,366549,66.2137090987,0.5060195149,1739.5212678891,195.1048055655,6329838,184.3664993814,4.9501,4.46899,4.77839,5.68003,302.3877076992,653108,38.4104852147,0.1674334393,34.691417033,408.2098868453,588398,42.9097871592
1425,25640,session_1,anat_1,SWU_4,1.5474495738,5701468,3.4885488029,32.2134167199,224.7545309084,252488,53.2365808891,0.3769402367,3673.1909526035,134.620413192,5832868,187.0825056525,5.8672,5.75917,5.79206,6.0548,334.8126812793,519916,38.0940839735,0.0914108437,38.5892303074,447.1907576134,442310,43.9736074297
1426,25640,session_2,anat_1,SWU_4,2.5030849245,5474981,6.711816632,17.4828029216,219.4033410004,256510,53.6276469102,0.4595652599,1679.5018966508,200.1469757626,6059355,215.0343310115,5.2608003136,4.69844028,5.13563,6.0340303597,335.6644634803,532562,40.9918011645,0.0954942127,29.8200899602,453.0058309038,455847,46.7968980161
1427,25641,session_1,anat_1,SWU_4,1.6409371004,6296793,3.4971895358,30.2524262405,213.4961630798,233260,48.1413853432,0.3730216401,3524.9036179587,139.1326492977,5237543,181.1828178826,5.8355603478,5.5323303298,5.6694203379,6.3358,320.8177551119,536882,37.971506833,0.054140576,39.7841317649,426.6162235914,463202,39.4111871945
1428,25641,session_2,anat_1,SWU_4,1.7450108043,5856777,3.6433272164,29.5863170217,214.1289927439,235114,49.0942273519,0.3748270238,3105.770993,131.8481043637,5677559,181.4267790523,5.99421,5.7618,5.83858,6.40221,324.9718894983,529802,39.7255137237,0.059986064,36.1889274644,432.7645235369,465503,42.2234088742
1429,25642,session_1,anat_1,SWU_4,2.1892933619,6161023,4.6624634441,24.0354363543,212.9043302815,262685,48.4881330794,0.3905056894,2000.1679158365,143.7169120215,5373313,179.7332316896,6.0328203596,5.7502903427,5.98338,6.3815403804,328.4046586131,554371,41.077262483,0.0821253224,30.8242442527,440.4690019791,496693,42.2295366798
1430,25642,session_2,anat_1,SWU_4,1.8363412583,5403041,3.5863646296,29.4548677842,204.0538123818,254421,45.4747305786,0.390905648,2716.1194325169,122.7813508907,6131295,169.2681758732,6.0328003596,5.8326403477,6.0260903592,6.24678,312.4017143795,566619,38.3236487734,0.1004637944,34.2356016665,418.0376103711,498772,39.103807049
1431,25643,session_1,anat_1,SWU_4,1.9393071122,5805180,3.6834137862,29.2571661627,213.7640366582,272572,45.6917024004,0.383176287,2873.9070194338,132.5385224678,5729156,178.2447535804,6.06958,5.67139,6.11458,6.44791,314.9135798239,583660,38.4176834181,0.1093919568,35.9825233227,422.6798290116,499683,41.6039893616
1432,25643,session_2,anat_1,SWU_4,1.9963227267,5739732,3.6500896141,29.2078752396,209.7659615543,279719,44.5482232745,0.3803361887,2610.3999571883,124.6479578,5794604,170.9187876601,6.21086,5.82036,6.1751503681,6.66589,311.2415155907,576145,37.5611088917,0.1099629739,34.1492869979,417.8528776529,496342,40.3472695405
1433,25644,session_1,anat_1,SWU_4,1.5844092717,5711290,3.2477722021,28.9855567944,191.1660753827,251994,42.7288217295,0.3896065696,3196.11707751,122.3157508882,5823046,162.5436426986,5.7895003451,5.5749403323,5.6749103383,6.13371,285.168630019,575716,32.799000546,0.0790828342,37.6614316764,379.3071156367,495950,34.3407258324
1434,25644,session_2,anat_1,SWU_4,1.594528107,5084397,3.2399885828,28.6800862942,191.5487757069,244876,42.9040167833,0.3898041263,2851.3658646367,109.9697025602,6449939,157.5633878612,5.9621203554,5.7176903408,5.8912903511,6.29174,285.5479825613,573896,31.6625576325,0.0799186216,33.9413858257,378.4711347088,491386,32.6837211113
1435,25645,session_1,anat_1,SWU_4,2.9520106702,5255416,5.5571184088,16.7876590261,182.5185248353,328343,86.4805954115,0.4856663314,1221.9603961946,154.6250989562,6278920,156.7340034608,5.30251,4.83599,5.02275,6.13788,261.8780176117,644798,33.472496043,0.1385275685,27.8246903487,355.1690266264,569360,38.1618160451
1436,25645,session_2,anat_1,SWU_4,2.6941919138,5047342,4.459173446,21.0226452924,193.3756098869,335718,99.9173493693,0.4981100682,1887.8981622553,159.9195829826,6486994,158.6301822538,5.2791203147,4.8049702864,5.0121402987,6.10901,267.4127350546,667983,34.2233593063,0.1118660079,35.8630550977,361.1563567064,584548,38.4474095558
1437,25646,session_1,anat_1,SWU_4,1.6173044869,5255499,3.3875858621,30.2993191408,196.5893121827,253672,42.7941009707,0.3885210688,2820.3090420025,114.7833973109,6278837,162.1262113896,6.22182,5.92764,6.24271,6.50876,300.2723358953,535405,36.0193383168,0.0873296713,33.8835388927,402.9138810479,464439,38.7956606749
