"","subject","site","site.name","session","scan","falff_50","falff_75","falff_90","falff_fwhm","falff_mean","reho_50","reho_75","reho_90","reho_fwhm","reho_mean","vmhc_50","vmhc_75","vmhc_90","vmhc_fwhm","vmhc_mean","global"
"763","0025280","25","UPSM","2","1",0.516260653734207,0.528644010424614,0.544656896591187,12.0123,0.519629657268524,0.0817111022770405,0.113989744335413,0.15564099997282,12.0116,0.094501368701458,0.225818865001202,0.371021434664726,0.541792404651642,12.0005,0.266634106636047,"All Sites"
"764","0025281","25","UPSM","2","1",0.544922292232513,0.572702586650848,0.604394197463989,12.0044,0.552269995212555,0.134141147136688,0.188583731651306,0.252242559194565,12.0494,0.147257804870605,0.392631128430367,0.572328671813011,0.726816982030869,12.0003,0.398381412029266,"All Sites"
"765","0025281","25","UPSM","1","1",0.542237371206284,0.57255320250988,0.606342226266861,12.0014,0.54975038766861,0.121027626097202,0.173254758119583,0.23248510658741,12.0417,0.135413900017738,0.396829724311829,0.572502464056015,0.710907959938049,12.0008,0.404600083827972,"All Sites"
"766","0025282","25","UPSM","1","1",0.541047930717468,0.566377758979797,0.59529846906662,12.0036,0.547415435314178,0.107301294803619,0.15221194922924,0.203093981742859,12.0026,0.1205730214715,0.326656073331833,0.485240072011948,0.633303499221802,11.9622,0.350762695074081,"All Sites"
"767","0025282","25","UPSM","2","1",0.558870136737823,0.589087307453156,0.620150744915009,12.0192,0.564160346984863,0.0996425747871399,0.136769510805607,0.180216553807259,12.0089,0.111234031617641,0.335454687476158,0.501720517873764,0.668285012245178,12.0003,0.356246590614319,"All Sites"
"768","0025283","25","UPSM","1","1",0.527174532413483,0.549553379416466,0.577864801883697,12.0132,0.53468269109726,0.103762753307819,0.157496590167284,0.219696772098541,12.0338,0.122323967516422,0.309816420078278,0.458171367645264,0.613084614276886,11.933,0.334099918603897,"All Sites"
"769","0025283","25","UPSM","3","1",0.52669095993042,0.545665740966797,0.570697724819183,12.0235,0.533024907112122,0.0938738808035851,0.133308693766594,0.184323519468307,12.0172,0.108469262719154,0.251729071140289,0.40090474486351,0.57155202627182,12.0003,0.287059843540192,"All Sites"
"770","0025283","25","UPSM","2","1",0.518462717533112,0.534063115715981,0.556002354621887,12.0018,0.524187028408051,0.0809714421629906,0.116636279970407,0.16593442261219,12.0396,0.0963489711284637,0.217748865485191,0.349086299538612,0.526915162801743,12.0028,0.255919128656387,"All Sites"
"771","0025284","25","UPSM","1","1",0.559042692184448,0.593347564339638,0.631049627065659,12.0169,0.56720507144928,0.11512565985322,0.162623919546604,0.221179009974003,12.017,0.129807755351067,0.35145691037178,0.531437456607819,0.721934723854065,12.0006,0.375733286142349,"All Sites"
"772","0025284","25","UPSM","2","1",0.568629622459412,0.6018907725811,0.639790737628937,12.0245,0.576060473918915,0.124545224010944,0.18401837348938,0.253172647953033,12.0652,0.142294779419899,0.39173723757267,0.568337380886078,0.743586242198944,12.0002,0.404178947210312,"All Sites"
