"","uniqueid","subid","site","site.name","session","scan","efc","fber","fwhm","gsr","dvars","quality","global"
"2157","psychswu_chongqing_qiu_0025833_session_1_rest_1","0025833",36,"SWU 4",1,1,0.532266112964486,65.2263692886017,1.85614707332016,0.0386493618641357,1.06647816785262,0.0105436800413223,"All Sites"
"2158","psychswu_chongqing_qiu_0025834_session_1_rest_1","0025834",36,"SWU 4",1,1,0.546753166342465,62.1659565138386,1.86843463512898,0.0330516428017161,0.967691286098773,0.0189589305371901,"All Sites"
"2159","psychswu_chongqing_qiu_0025835_session_1_rest_1","0025835",36,"SWU 4",1,1,0.55986553916506,55.5871780755906,1.78835095621682,0.045320923512097,1.19984084696833,0.00983201206611569,"All Sites"
"2160","psychswu_chongqing_qiu_0025836_session_1_rest_1","0025836",36,"SWU 4",1,1,0.496568484301459,91.6540544463805,1.7769435304938,0.0212513644877279,1.06821906274227,0.0114767265702479,"All Sites"
"2161","psychswu_chongqing_qiu_0025837_session_1_rest_1","0025837",36,"SWU 4",1,1,0.520946072697323,72.8938581563069,1.99190526160732,0.0330903158233319,1.06698615217203,0.00383946541322314,"All Sites"
"2162","psychswu_chongqing_qiu_0025838_session_1_rest_1","0025838",36,"SWU 4",1,1,0.532800338974415,71.2128212933352,2.05429542586825,0.032659140249508,1.24928518382921,0.00804982417355372,"All Sites"
"2163","psychswu_chongqing_qiu_0025839_session_1_rest_1","0025839",36,"SWU 4",1,1,0.489823444560459,87.3670482385813,1.8734144332128,0.0289042631966348,1.1678028908456,0.00447130462809917,"All Sites"
"2164","psychswu_chongqing_qiu_0025840_session_1_rest_1","0025840",36,"SWU 4",1,1,0.486994879507782,112.330262092288,1.98772280557039,0.0225737473515562,1.12327678778182,0.0053338073553719,"All Sites"
"2165","psychswu_chongqing_qiu_0025841_session_1_rest_1","0025841",36,"SWU 4",1,1,0.516519465105679,67.4647162003931,1.91582714374102,0.0222030185052878,1.19628830531696,0.0077798588429752,"All Sites"
"2166","psychswu_chongqing_qiu_0025842_session_1_rest_1","0025842",36,"SWU 4",1,1,0.488949110872222,107.004462859509,1.70227978127189,0.032205070006093,1.20933900764756,0.00496995723140496,"All Sites"
"2167","psychswu_chongqing_qiu_0025843_session_1_rest_1","0025843",36,"SWU 4",1,1,0.494168101252669,114.02724783902,1.81865879902935,0.0233162752876919,1.24163861611764,0.00390037227272727,"All Sites"
"2168","psychswu_chongqing_qiu_0025844_session_1_rest_1","0025844",36,"SWU 4",1,1,0.509823412773838,105.002147616428,1.83646870501673,0.0316597090716122,1.31128138250012,0.0081646594214876,"All Sites"
"2169","psychswu_chongqing_qiu_0025845_session_1_rest_1","0025845",36,"SWU 4",1,1,0.497032376753144,95.5127645324123,1.96853438960762,0.028841750038695,0.993225477549571,0.00847410855371901,"All Sites"
"2170","psychswu_chongqing_qiu_0025846_session_1_rest_1","0025846",36,"SWU 4",1,1,0.499809779721957,93.1764864260132,1.77770487315381,0.030913348871414,1.22991219517401,0.00646127103305785,"All Sites"
"2171","psychswu_chongqing_qiu_0025847_session_1_rest_1","0025847",36,"SWU 4",1,1,0.504787896264611,87.1850801862189,1.87415351386226,0.0348439519633628,1.15885705188169,0.0170226369421488,"All Sites"
"2172","psychswu_chongqing_qiu_0025848_session_1_rest_1","0025848",36,"SWU 4",1,1,0.493721491742065,75.5983238381435,1.95175421396331,0.0210106726245998,1.15658741471972,0.00540485272727273,"All Sites"
"2173","psychswu_chongqing_qiu_0025849_session_1_rest_1","0025849",36,"SWU 4",1,1,0.48489219798054,92.5453297806989,1.82900027122961,0.025670548703444,1.04582031403124,0.0109892162809917,"All Sites"
"2174","psychswu_chongqing_qiu_0025850_session_1_rest_1","0025850",36,"SWU 4",1,1,0.483310522730148,104.731324848922,1.84863723885579,0.0285090560894196,1.14010963154573,0.00702402033057851,"All Sites"
"2175","psychswu_chongqing_qiu_0025851_session_1_rest_1","0025851",36,"SWU 4",1,1,0.497256539932672,120.860083619547,2.02382426560884,0.0163739544011598,1.28179720515354,0.0117008026446281,"All Sites"
"2176","psychswu_chongqing_qiu_0025852_session_1_rest_1","0025852",36,"SWU 4",1,1,0.551508493184353,62.3183839467837,1.9013609677932,0.0405700765265611,1.11749329000973,0.00468891876033058,"All Sites"
"2177","psychswu_chongqing_qiu_0025853_session_1_rest_1","0025853",36,"SWU 4",1,1,0.506189474112406,88.3980058513208,1.71951669101144,0.0201273322890714,1.09798444800047,0.00746873702479339,"All Sites"
"2178","psychswu_chongqing_qiu_0025854_session_1_rest_1","0025854",36,"SWU 4",1,1,0.507815157911447,87.5770231630611,1.80021499990068,0.0308093079242689,1.1718725763739,0.0110101326859504,"All Sites"
"2179","psychswu_chongqing_qiu_0025855_session_1_rest_1","0025855",36,"SWU 4",1,1,0.548947813718443,75.0322648596654,1.92382403548814,0.0328036311182556,1.17457234503188,0.0105418055371901,"All Sites"
"2180","psychswu_chongqing_qiu_0025856_session_1_rest_1","0025856",36,"SWU 4",1,1,0.541774477516993,68.8575292174136,2.03635251705745,0.0338930483526399,0.945027624819662,0.02131633,"All Sites"
"2181","psychswu_chongqing_qiu_0025857_session_1_rest_1","0025857",36,"SWU 4",1,1,0.505196048369894,82.4666167565939,1.7638754839227,0.0301646800041501,1.20035317309466,0.00682028053719008,"All Sites"
"2182","psychswu_chongqing_qiu_0025858_session_1_rest_1","0025858",36,"SWU 4",1,1,0.508989997307037,76.3917732436842,1.78609784694442,0.0347292752018243,1.12920581148603,0.0107949218595041,"All Sites"
"2183","psychswu_chongqing_qiu_0025859_session_1_rest_1","0025859",36,"SWU 4",1,1,0.535339100008423,61.7141477338391,1.91758475581046,0.0368809181050938,1.10538905929022,0.0174124040082645,"All Sites"
"2184","psychswu_chongqing_qiu_0025860_session_1_rest_1","0025860",36,"SWU 4",1,1,0.488370017889419,107.86361807869,1.91811081990509,0.0252283465940031,1.13393956745039,0.00635362285123967,"All Sites"
"2185","psychswu_chongqing_qiu_0025861_session_1_rest_1","0025861",36,"SWU 4",1,1,0.519189049991716,92.2212591057759,1.89411699567466,0.0205203710384679,1.14002024624491,0.0143957282231405,"All Sites"
"2186","psychswu_chongqing_qiu_0025862_session_1_rest_1","0025862",36,"SWU 4",1,1,0.513496152210282,79.8921939234983,1.85680587929234,0.0196043661503692,1.14532910165386,0.00580364702479339,"All Sites"
"2187","psychswu_chongqing_qiu_0025863_session_1_rest_1","0025863",36,"SWU 4",1,1,0.492219077661866,93.6474600906611,2.00791050286072,0.0256862192421633,1.03519722783062,0.0117162402066116,"All Sites"
"2188","psychswu_chongqing_qiu_0025629_session_2_rest_1","0025629",36,"SWU 4",2,1,0.504641563548233,81.0858791329743,1.76729119321071,0.0329082576981605,1.01446879234864,0.00797342657024794,"All Sites"
"2189","psychswu_chongqing_qiu_0025630_session_2_rest_1","0025630",36,"SWU 4",2,1,0.517260685810617,83.1324687710568,1.93900438073703,0.0190889302118148,1.21321553250189,0.00969975570247933,"All Sites"
"2190","psychswu_chongqing_qiu_0025631_session_2_rest_1","0025631",36,"SWU 4",2,1,0.520351528078453,74.8458552583652,1.89003682759486,0.0308574756538522,1.08365078464149,0.0068639173553719,"All Sites"
"2191","psychswu_chongqing_qiu_0025632_session_2_rest_1","0025632",36,"SWU 4",2,1,0.514527806444989,65.1399408228032,1.90512016264696,0.0400065342392964,1.00771103235801,0.0209045420661157,"All Sites"
"2192","psychswu_chongqing_qiu_0025633_session_2_rest_1","0025633",36,"SWU 4",2,1,0.479426582319988,101.068746656351,2.1477655992403,0.027429030257763,1.06300400523709,0.00419924714876033,"All Sites"
"2193","psychswu_chongqing_qiu_0025634_session_2_rest_1","0025634",36,"SWU 4",2,1,0.508093859643462,86.5645756346313,1.76072816295477,0.0266966609532882,1.12562056910418,0.00898187243801653,"All Sites"
"2194","psychswu_chongqing_qiu_0025635_session_2_rest_1","0025635",36,"SWU 4",2,1,0.52969925284415,51.2602917102534,1.86522918422233,0.0350365256574776,1.24538378354611,0.00450474144628099,"All Sites"
"2195","psychswu_chongqing_qiu_0025636_session_2_rest_1","0025636",36,"SWU 4",2,1,0.518165064346761,83.7113622064615,1.94412535152917,0.0375713990484702,1.14488544665242,0.0144360530165289,"All Sites"
"2196","psychswu_chongqing_qiu_0025637_session_2_rest_1","0025637",36,"SWU 4",2,1,0.504756535166224,90.4740222327098,1.88489648015648,0.0275905235180956,1.12624499486056,0.00642420438016529,"All Sites"
"2197","psychswu_chongqing_qiu_0025638_session_2_rest_1","0025638",36,"SWU 4",2,1,0.521468853050906,88.6219297138041,1.73109573466834,0.0282328688314688,1.20475965831587,0.00834149466942149,"All Sites"
"2198","psychswu_chongqing_qiu_0025639_session_2_rest_1","0025639",36,"SWU 4",2,1,0.533497780043831,72.3456486169584,2.17066049081966,0.016418383563461,1.10682608959112,0.00530180570247934,"All Sites"
"2199","psychswu_chongqing_qiu_0025640_session_2_rest_1","0025640",36,"SWU 4",2,1,0.489769707203917,79.6402853680409,1.8758585349314,0.0254708795830745,1.18229210546705,0.00736418508264463,"All Sites"
"2200","psychswu_chongqing_qiu_0025641_session_2_rest_1","0025641",36,"SWU 4",2,1,0.491900316132642,111.764085150395,1.87731744338411,0.0133316669812251,1.0595563508208,0.00757202714876033,"All Sites"
"2201","psychswu_chongqing_qiu_0025642_session_2_rest_1","0025642",36,"SWU 4",2,1,0.513073006295187,81.742330661221,1.78710531467279,0.0335864378726767,1.13255169041456,0.00659365322314049,"All Sites"
"2202","psychswu_chongqing_qiu_0025643_session_2_rest_1","0025643",36,"SWU 4",2,1,0.499243391417697,120.964312031836,1.82189746704384,0.0238209611637486,1.0961403918376,0.0128423098347107,"All Sites"
