"","site","site.name","uniqueid","subid","session","scan","falff_50","reho_50","vmhc_50","falff_75","reho_75","vmhc_75","falff_90","reho_90","vmhc_90","falff_fwhm","reho_fwhm","vmhc_fwhm","falff_mean","reho_mean","vmhc_mean","global"
"3594",45,"UM","MONTREAL_org_0026175_session_1_rest_2","0026175",1,2,0.682395128533244,0.205575555562973,0.535550832748413,0.743451534770429,0.279313936829567,0.717078298330307,0.797324834391475,0.347530633211136,0.841816842556,5.11245,12.8462,6.44746,0.688200114669247,0.21266408264637,0.483175247907639,"All Sites"
"3595",45,"UM","MONTREAL_org_0026175_session_2_rest_1","0026175",2,1,0.685466482304037,0.200274497270584,0.510742783546448,0.743804055266082,0.276229381561279,0.691072821617126,0.802141628228128,0.348059165477753,0.828428083658218,5.21571,12.9786,6.36071,0.690720718583356,0.210990190505981,0.467853665351868,"All Sites"
"3596",45,"UM","MONTREAL_org_0026175_session_2_rest_2","0026175",2,2,0.658610960701481,0.18735034018755,0.486581534147263,0.707396957790479,0.255181290209293,0.669741004705429,0.756182954879478,0.321303024888039,0.814425468444824,4.69818,12.6729,6.50807,0.661841399875008,0.197329521179199,0.450692713260651,"All Sites"
"3597",45,"UM","MONTREAL_org_0026176_session_1_rest_1","0026176",1,1,0.617796545382589,0.200442507863045,0.560560405254364,0.667504313401878,0.28555092215538,0.735325753688812,0.724313191138208,0.362034872174263,0.853050744533539,4.87784,13.6799,6.14446,0.619448309726855,0.217138215899467,0.497530579566956,"All Sites"
"3598",45,"UM","MONTREAL_org_0026176_session_1_rest_2","0026176",1,2,0.628374136053026,0.204886451363564,0.546882271766663,0.682857442647219,0.284541457891464,0.712289690971375,0.744605190120637,0.359748107194901,0.830751836299896,5.13586,13.2672,6.25313,0.636300186590049,0.218792155385017,0.487461864948273,"All Sites"
"3599",45,"UM","MONTREAL_org_0026176_session_2_rest_1","0026176",2,1,0.653480354696512,0.19515386223793,0.543656408786774,0.709174703108147,0.273113533854485,0.724440276622772,0.772294964641333,0.345479899644852,0.842039108276367,5.06418,12.7209,6.28114,0.662300406078607,0.208822503685951,0.489093810319901,"All Sites"
"3600",45,"UM","MONTREAL_org_0026176_session_2_rest_2","0026176",2,2,0.65964930341579,0.203688487410545,0.546422958374023,0.71431637275964,0.287960767745972,0.719476446509361,0.77627238468267,0.365524083375931,0.843513232469559,5.14012,13.4434,6.34528,0.667322282346602,0.218340381979942,0.492345839738846,"All Sites"
"3601",45,"UM","MONTREAL_org_0026177_session_1_rest_1","0026177",1,1,0.641956234816462,0.135857149958611,0.397379666566849,0.692165102344006,0.20088405162096,0.602881208062172,0.74596031755209,0.275772905349732,0.774315559864044,4.75537,12.7363,6.49487,0.648071419994247,0.155158430337906,0.387801110744476,"All Sites"
"3602",45,"UM","MONTREAL_org_0026177_session_1_rest_2","0026177",1,2,0.652040839893743,0.152676701545715,0.446813315153122,0.713282244745642,0.225593537092209,0.653673782944679,0.77452364959754,0.307089298963547,0.817805349826813,5.11436,12.7324,6.38974,0.660079434303048,0.171307891607285,0.422524809837341,"All Sites"
"3603",45,"UM","MONTREAL_org_0026177_session_2_rest_1","0026177",2,1,0.628252974711359,0.154171198606491,0.485154911875725,0.679094255901873,0.224162954837084,0.673817217350006,0.737198577262461,0.308284133672714,0.809528905153274,5.0897,13.3001,6.39963,0.635566300586686,0.174325153231621,0.451760053634644,"All Sites"
