"","site","site.name","uniqueid","subid","session","scan","snr","cnr","fber","efc","qi1","fwhm","global"
"3143",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027214_session_1_anat_1","0027214",1,1,31.3519077301025,12.147536277771,1001.85475573929,0.391210338251124,0.0671330545447189,3.36324,"All Sites"
"3145",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027214_session_2_anat_1","0027214",2,1,33.5014953613281,12.9320440292358,1133.23466848119,0.391824655112698,0.0456564214536829,3.36012,"All Sites"
"3146",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027214_session_2_anat_1","0027214",2,1,36.3782157897949,14.3134679794312,1330.86362803332,0.391974232874754,0.0460436577596475,3.35511,"All Sites"
"3148",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027214_session_3_anat_1","0027214",3,1,22.2577819824219,8.43325614929199,507.224727374328,0.391654859119856,0.0729637357214475,3.4002,"All Sites"
"3149",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027214_session_3_anat_1","0027214",3,1,32.5349464416504,12.7483530044556,1070.85502509611,0.392845884910785,0.0459139712395584,3.36732,"All Sites"
"3151",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027215_session_1_anat_1","0027215",1,1,60.4711685180664,21.9077758789062,3717.92022105902,0.483100969011412,0.100643403598244,3.3825,"All Sites"
"3152",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027215_session_1_anat_1","0027215",1,1,58.9250717163086,21.7733497619629,3499.87083855786,0.482464488429198,0.0981030918798893,3.35037,"All Sites"
"3154",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027215_session_2_anat_1","0027215",2,1,55.2842330932617,20.1324424743652,3190.51142849788,0.482690707652384,0.10308592913634,3.38157,"All Sites"
"3155",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027215_session_2_anat_1","0027215",2,1,41.3751029968262,15.6937551498413,1836.33832618755,0.495961831019705,0.128800497774538,3.34888,"All Sites"
"3157",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027215_session_3_anat_1","0027215",3,1,59.1901550292969,21.8163375854492,3506.40113678133,0.486589313055801,0.151849008100577,3.36778,"All Sites"
"3158",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027215_session_3_anat_1","0027215",3,1,47.3738975524902,17.3790283203125,2303.29543690645,0.480213268027328,0.11454039450788,3.3727,"All Sites"
"3160",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027216_session_1_anat_1","0027216",1,1,77.0730133056641,26.1000080108643,5469.11531344636,0.434832064570089,0.0784052606072032,3.48137,"All Sites"
"3161",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027216_session_1_anat_1","0027216",1,1,74.4475860595703,25.3076858520508,5259.75792409195,0.434582644437682,0.0693792216846465,3.47607,"All Sites"
"3163",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027216_session_2_anat_1","0027216",2,1,81.0329284667969,28.1128940582275,6173.02990991565,0.435241394304491,0.0633880308085575,3.46379,"All Sites"
"3164",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027216_session_2_anat_1","0027216",2,1,85.058952331543,28.0456123352051,6700.20850872308,0.435278002432689,0.0673831495403735,3.50381,"All Sites"
"3166",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027216_session_3_anat_1","0027216",3,1,85.1850433349609,28.9359130859375,6739.86222864502,0.43627608970799,0.0628997559035815,3.46768,"All Sites"
"3167",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027216_session_3_anat_1","0027216",3,1,80.849983215332,27.9170570373535,6151.03174731741,0.437584619451393,0.0589301622096264,3.44015,"All Sites"
"3169",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027217_session_1_anat_1","0027217",1,1,83.2200088500977,28.5339641571045,5730.71151608687,0.42967032922955,0.0710175423961186,3.45546,"All Sites"
"3170",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027217_session_1_anat_1","0027217",1,1,75.8521118164062,26.3642616271973,4782.61310852629,0.430187460889648,0.0698236010532037,3.45851,"All Sites"
"3172",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027217_session_2_anat_1","0027217",2,1,82.7074890136719,28.4618892669678,5684.25594425301,0.430306974644845,0.0730597763746177,3.45813,"All Sites"
"3173",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027217_session_2_anat_1","0027217",2,1,80.0900802612305,27.9740676879883,5265.89155928409,0.428680197248671,0.0791916931003198,3.45803,"All Sites"
"3175",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027217_session_3_anat_1","0027217",3,1,78.1982040405273,27.6082820892334,5085.78396683589,0.430162560419527,0.0737331637478394,3.46613,"All Sites"
"3176",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027217_session_3_anat_1","0027217",3,1,77.8699417114258,27.5782241821289,5017.89054999878,0.432765027425232,0.0718645919243383,3.44387,"All Sites"
"3178",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027218_session_1_anat_1","0027218",1,1,37.1982650756836,13.7822608947754,1402.54529817269,0.487581944221867,0.0628003276488179,3.38842,"All Sites"
"3179",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027218_session_1_anat_1","0027218",1,1,36.9855003356934,14.0825090408325,1390.30883173713,0.488358163864692,0.052685235966928,3.42844,"All Sites"
