"","subject","site","site.name","session","scan","falff_50","falff_75","falff_90","falff_fwhm","falff_mean","reho_50","reho_75","reho_90","reho_fwhm","reho_mean","vmhc_50","vmhc_75","vmhc_90","vmhc_fwhm","vmhc_mean","global"
"366","0025054","24","NYU 2","2","2",0.58584126830101,0.60126619040966,0.615918290615082,7.11079,0.570221900939941,0.0913832038640976,0.124988608062267,0.158405983448029,13.062,0.100790150463581,0.350148260593414,0.550016224384308,0.709989023208618,6.45299,0.348860234022141,"All Sites"
"367","0025054","24","NYU 2","2","1",0.59023255109787,0.604347944259644,0.617218053340912,7.22258,0.573040664196014,0.0799240283668041,0.104528162628412,0.129314203560352,11.7752,0.0866695865988731,0.271148175001144,0.46139070391655,0.652062296867371,6.27306,0.291449457406998,"All Sites"
"368","0025055","24","NYU 2","1","2",0.600492238998413,0.622856020927429,0.647480463981629,7.19149,0.591432631015778,0.0821967497467995,0.11190739274025,0.145470637083054,12.819,0.0916754752397537,0.272990435361862,0.461480677127838,0.638154029846191,6.34995,0.293139189481735,"All Sites"
"369","0025055","24","NYU 2","1","1",0.602979451417923,0.6246577501297,0.650237143039703,7.14762,0.59378319978714,0.0755645409226418,0.103980770334601,0.140221633017063,13.3812,0.0866397470235825,0.233677729964256,0.425475239753723,0.611272633075714,6.38422,0.262513220310211,"All Sites"
"370","0025055","24","NYU 2","2","2",0.599120825529099,0.61686959862709,0.636044996976852,7.18992,0.587179958820343,0.076937273144722,0.106961734592915,0.14453162997961,13.6862,0.0883530303835869,0.239640310406685,0.425712317228317,0.6135657787323,6.52491,0.267759948968887,"All Sites"
"371","0025055","24","NYU 2","2","1",0.598008096218109,0.618877917528152,0.641538083553314,7.05463,0.588106751441956,0.082979328930378,0.114014189690351,0.150731533765793,13.546,0.093718908727169,0.262875914573669,0.452109456062317,0.629750859737396,6.4215,0.283400774002075,"All Sites"
"372","0025056","24","NYU 2","2","2",0.591795086860657,0.608785361051559,0.627157312631607,7.37562,0.577838540077209,0.0868762321770191,0.116763167083263,0.149743802845478,12.5851,0.094986230134964,0.295870780944824,0.491501577198505,0.660933434963226,6.54188,0.312595248222351,"All Sites"
"373","0025056","24","NYU 2","1","2",0.597977548837662,0.615574285387993,0.635440766811371,7.21962,0.584758996963501,0.0883926711976528,0.118479145690799,0.15451268851757,12.6565,0.0973690748214722,0.294477641582489,0.485903471708298,0.661286115646362,6.69639,0.309468954801559,"All Sites"
"374","0025056","24","NYU 2","2","1",0.592109173536301,0.610291257500648,0.630921584367752,7.23225,0.579156935214996,0.0936473123729229,0.125755988061428,0.159929768741131,12.1828,0.102022729814053,0.337621465325356,0.528486728668213,0.70474174618721,6.63443,0.340922176837921,"All Sites"
"375","0025056","24","NYU 2","1","1",0.602123558521271,0.62079530954361,0.643407112360001,7.18319,0.589570224285126,0.0887787044048309,0.122929744422436,0.164141833782196,12.76,0.100187458097935,0.319102764129639,0.515562474727631,0.684652507305145,6.56575,0.328770279884338,"All Sites"
"376","0025057","24","NYU 2","2","1",0.594550013542175,0.611450135707855,0.628076684474945,7.13641,0.578845798969269,0.0795734897255898,0.104113221168518,0.132748666405678,11.591,0.0869949385523796,0.28118622303009,0.46294230222702,0.64244167804718,6.75355,0.29933887720108,"All Sites"
"377","0025057","24","NYU 2","2","2",0.5960294008255,0.610627561807632,0.62623850107193,6.99973,0.57975709438324,0.0789303630590439,0.103156581521034,0.130596786737442,11.7499,0.0865694284439087,0.29617902636528,0.484913975000381,0.671441805362702,6.71285,0.313449919223785,"All Sites"
"378","0025057","24","NYU 2","1","1",0.593683987855911,0.607829913496971,0.621746164560318,7.08915,0.575818419456482,0.0704023092985153,0.0904819425195456,0.117127311229706,11.9117,0.0777217745780945,0.216463044285774,0.389051616191864,0.579138481616974,6.60053,0.24955327808857,"All Sites"
"379","0025057","24","NYU 2","1","2",0.602936804294586,0.622165068984032,0.643639439344406,7.09584,0.589771687984467,0.0882195234298706,0.116280997171998,0.143100439012051,11.5424,0.0942398756742477,0.334703922271729,0.533361375331879,0.705192923545837,6.59523,0.341525495052338,"All Sites"
"380","0025058","24","NYU 2","1","2",0.600117087364197,0.624167501926422,0.654747784137726,7.63907,0.592408239841461,0.085627555847168,0.107861571013927,0.133649432659149,11.8927,0.0915679037570953,0.276950776576996,0.448313415050507,0.629089081287384,6.20274,0.29059824347496,"All Sites"
"381","0025058","24","NYU 2","2","2",0.597577393054962,0.615516543388367,0.635068565607071,7.11309,0.585265457630157,0.095969520509243,0.130074195563793,0.165171936154366,13.1389,0.103890627622604,0.286659330129623,0.480151891708374,0.655567526817322,6.77243,0.303957790136337,"All Sites"
"382","0025058","24","NYU 2","2","1",0.583001673221588,0.599190533161163,0.615416049957275,7.10066,0.56930947303772,0.0978960320353508,0.127436906099319,0.158874669671059,12.3495,0.104098841547966,0.312570601701736,0.488689392805099,0.65186995267868,6.60001,0.318504691123962,"All Sites"
"383","0025058","24","NYU 2","1","1",0.601112961769104,0.625287055969238,0.658103346824646,7.79484,0.59340626001358,0.0785306766629219,0.100594080984592,0.127659893035889,12.7667,0.0861121267080307,0.246331334114075,0.430684983730316,0.640457510948181,6.32976,0.275333404541016,"All Sites"
"384","0025059","24","NYU 2","2","1",0.601892352104187,0.622784346342087,0.645244359970093,7.13192,0.590088427066803,0.114113658666611,0.148057363927364,0.181871548295021,12.205,0.120296455919743,0.395330190658569,0.581241250038147,0.725835114717484,6.69225,0.382640928030014,"All Sites"
"385","0025059","24","NYU 2","1","2",0.606588214635849,0.628653392195702,0.652569115161896,7.29494,0.595625817775726,0.0997910350561142,0.13019035384059,0.162480853497982,12.7851,0.106502056121826,0.374738097190857,0.553151309490204,0.707324981689453,6.50725,0.36363559961319,"All Sites"
"386","0025059","24","NYU 2","1","1",0.614240407943726,0.643182933330536,0.670951247215271,7.314,0.60511326789856,0.125413417816162,0.171144396066666,0.214032515883446,13.1065,0.133321061730385,0.394418150186539,0.589169174432755,0.734299886226654,6.61357,0.381300419569016,"All Sites"
"387","0025059","24","NYU 2","2","2",0.609219163656235,0.629612311720848,0.648876184225082,7.22012,0.595240771770477,0.169719725847244,0.215684350579977,0.255598285794258,11.9895,0.172562152147293,0.589069128036499,0.744404852390289,0.844144761562348,6.78643,0.514912128448486,"All Sites"
"388","0025060","24","NYU 2","1","2",0.597450971603394,0.614824712276459,0.633451557159424,7.1157,0.584611892700195,0.0964939221739769,0.126178666949272,0.156756031513214,12.4481,0.102679587900639,0.329167127609253,0.519710004329681,0.688115000724792,6.44588,0.335137158632278,"All Sites"
"389","0025060","24","NYU 2","2","1",0.600523054599762,0.615427643060684,0.630271208286285,7.25628,0.584754765033722,0.0756585374474525,0.0987842604517937,0.125742289423943,12.3873,0.0830561891198158,0.221214711666107,0.396460153162479,0.587801098823547,6.42466,0.252589851617813,"All Sites"
"390","0025060","24","NYU 2","1","1",0.59207957983017,0.608763039112091,0.625021803379059,7.22795,0.57683914899826,0.0918735563755035,0.122275490313768,0.155146384239197,12.2709,0.0994191691279411,0.311042696237564,0.500645041465759,0.671107053756714,6.33683,0.318741470575333,"All Sites"
