"","site","site.name","uniqueid","subid","session","scan","MeanFD","PercentFD_greater_than_0.20","global"
"79",4,"BMB","Berlin_0003051_session_1_rest_3","0003051",1,3,0.0473,0,"All Sites"
"80",4,"BMB","Berlin_0003051_session_1_rest_4","0003051",1,4,0.0647,0.4975,"All Sites"
"81",4,"BMB","Berlin_0003052_session_1_rest_1","0003052",1,1,0.058,0,"All Sites"
"82",4,"BMB","Berlin_0003052_session_1_rest_2","0003052",1,2,0.0699,0.4975,"All Sites"
"83",4,"BMB","Berlin_0003052_session_1_rest_3","0003052",1,3,0.0896,1.4925,"All Sites"
"84",4,"BMB","Berlin_0003052_session_1_rest_4","0003052",1,4,0.0949,3.4826,"All Sites"
"85",4,"BMB","Berlin_0003054_session_1_rest_1","0003054",1,1,0.0597,1.4925,"All Sites"
"86",4,"BMB","Berlin_0003054_session_1_rest_2","0003054",1,2,0.0886,4.9751,"All Sites"
"87",4,"BMB","Berlin_0003054_session_1_rest_3","0003054",1,3,0.0751,1.4925,"All Sites"
"88",4,"BMB","Berlin_0003054_session_1_rest_4","0003054",1,4,0.0993,7.9602,"All Sites"
"89",4,"BMB","Berlin_0003055_session_1_rest_1","0003055",1,1,0.152,17.4129,"All Sites"
"90",4,"BMB","Berlin_0003055_session_1_rest_2","0003055",1,2,0.1172,12.4378,"All Sites"
"91",4,"BMB","Berlin_0003055_session_1_rest_3","0003055",1,3,0.1372,19.9005,"All Sites"
"92",4,"BMB","Berlin_0003055_session_1_rest_4","0003055",1,4,0.1269,12.4378,"All Sites"
"93",4,"BMB","Berlin_0003056_session_1_rest_1","0003056",1,1,0.1318,10.4478,"All Sites"
"94",4,"BMB","Berlin_0003056_session_1_rest_2","0003056",1,2,0.1137,7.4627,"All Sites"
"95",4,"BMB","Berlin_0003056_session_1_rest_3","0003056",1,3,0.1574,19.403,"All Sites"
"96",4,"BMB","Berlin_0003056_session_1_rest_4","0003056",1,4,0.1224,7.4627,"All Sites"
"97",4,"BMB","Berlin_0003057_session_1_rest_1","0003057",1,1,0.0748,4.9751,"All Sites"
"98",4,"BMB","Berlin_0003057_session_1_rest_2","0003057",1,2,0.0843,8.4577,"All Sites"
"99",4,"BMB","Berlin_0003057_session_1_rest_3","0003057",1,3,0.1037,13.9303,"All Sites"
"100",4,"BMB","Berlin_0003057_session_1_rest_4","0003057",1,4,0.0442,0.995,"All Sites"
"101",4,"BMB","Berlin_0003059_session_1_rest_1","0003059",1,1,0.0851,0.4975,"All Sites"
"102",4,"BMB","Berlin_0003059_session_1_rest_2","0003059",1,2,0.0692,0.4975,"All Sites"
"103",4,"BMB","Berlin_0003059_session_1_rest_3","0003059",1,3,0.0644,0,"All Sites"
"104",4,"BMB","Berlin_0003059_session_1_rest_4","0003059",1,4,0.0556,0.995,"All Sites"
