"","subject","session","site","anat_cnr","anat_efc","anat_fber","anat_fwhm","anat_qi1","anat_snr"
"644","0025464",2,"IACAS","7.470959186553955","0.43785231409545217","1119.1866012130445","2.9755700000000003","0.17302499754820147","34.401966094970696"
"648","0025465",1,"IACAS","7.838834285736084","0.4126226792469068","1110.473951598565","2.91445","0.17578328791831113","33.917930603027344"
"646","0025465",2,"IACAS","10.55821132659912","0.418915786534466","1746.5692417075759","3.00849","0.18428165404833727","43.93534851074219"
"647","0025465",3,"IACAS","3.754108905792236","0.6376367546611112","296.5894240247096","2.89529","0.4412325392136097","17.776321411132812"
"651","0025466",1,"IACAS","8.796889305114746","0.4464389372152348","1243.8822272003795","2.96259","0.15426368534023227","35.82645034790039"
"649","0025466",2,"IACAS","7.68353796005249","0.4490538511921392","873.4925149848543","3.04567","0.15503528348100276","30.178451538085934"
"650","0025466",3,"IACAS","3.765314817428589","0.6334132301069261","182.64262023466128","3.23684","0.4301631402662506","13.679862022399902"
"653","0025467",1,"IACAS","5.940713882446289","0.3717823018459858","530.0327014995612","2.98473","0.12946587217905375","22.68890380859375"
"652","0025467",2,"IACAS","5.621100425720215","0.37563429147488303","576.5316520432739","3.0420700000000003","0.12610155649614374","23.572126388549805"
"654","0025468",1,"IACAS","16.487077713012695","0.4146682547412994","4159.776347456416","2.88992","0.14763337720689335","66.8291015625"
"656","0025469",1,"IACAS","11.4447660446167","0.4220824912883355","2168.3616485430352","3.02067","0.16439319870649818","47.81918334960938"
"655","0025469",2,"IACAS","11.33133316040039","0.4230658635993965","2204.6644352824906","2.99808","0.16208859238879655","49.18651580810547"
"658","0025470",1,"IACAS","15.586959838867188","0.4208942594972753","3541.794986442766","2.9818","0.16584572635881867","65.26723480224611"
"657","0025470",2,"IACAS","12.37771701812744","0.4242018802355396","2196.0746623805085","3.00772","0.15668232097129106","48.46126937866211"
"660","0025471",1,"IACAS","12.975374221801758","0.3924808403235176","3125.4145506000987","3.0080299999999998","0.13854592521720424","56.96477890014648"
"659","0025471",2,"IACAS","6.2284913063049325","0.3910488379200622","882.0503217389778","3.15916","0.1364901761054056","29.571460723876953"
"662","0025472",1,"IACAS","10.053378105163574","0.4330365365132869","1929.2964217256258","2.93151","0.15295185676329534","44.32597732543945"
"661","0025472",2,"IACAS","9.011802673339844","0.43477972967674094","1850.0865424017188","2.95552","0.17075123913435486","43.56784057617188"
"664","0025473",1,"IACAS","16.001731872558597","0.4046114743310986","5081.829521974602","3.05093","0.12935938656760204","76.8444595336914"
"663","0025473",2,"IACAS","11.88219165802002","0.4120826449042618","3117.074317303296","3.08851","0.12498392069355535","58.07129669189453"
