subject,bg_mean,bg_size,bg_std,cnr,csf_mean,csf_size,csf_std,efc,fber,fg_mean,fg_size,fg_std,fwhm,gm_mean,gm_size,gm_std,qi1,snr,wm_mean,wm_size,wm_std,site
0025168_session_1,3.2242624759674072,6317092.0,8.498164176940918,9.904963493347168,39.74212265014648,4157.0,48.15414047241211,0.4287019535068081,154.5209644226454,97.6744155883789,2071516.0,60.280799865722656,3.78495,110.5676498413086,275922.0,18.95401954650879,0.06377475585285128,13.01076889038086,194.7416534423828,65269.0,12.080467224121096,NYU_2
0025169_session_1,2.5673604011535645,6208612.0,8.132269859313965,9.778947830200195,48.030845642089844,4312.0,57.99016571044922,0.4278234658485032,179.21378449477956,99.39408111572266,2179996.0,61.47788619995117,3.95851,118.97100830078124,245266.0,18.536500930786133,0.03959016926810695,14.629495620727539,198.4960479736328,62326.0,12.773366928100586,NYU_2
0025170_session_1,1.8056132793426516,6282982.0,6.6893067359924325,10.177132606506348,54.03273391723633,4277.0,57.92793273925781,0.4086440261662254,230.93230428285148,90.2509765625,2105626.0,57.94756698608398,4.13091,118.30445098876952,222805.0,15.591926574707033,0.03710928982448143,17.68560791015625,186.3824157714844,53926.0,13.80669403076172,NYU_2
0025171_session_1,1.9872909784317017,6430317.0,6.459428787231445,12.908828735351562,44.5886344909668,3097.0,43.39899063110352,0.3973321988996949,262.7431135882761,94.75382995605469,1958291.0,60.41038131713867,4.01207,122.08350372314452,193065.0,19.048416137695312,0.04061728216509388,18.900047302246094,205.4671630859375,51866.0,10.658428192138672,NYU_2
0025172_session_1,2.812151432037353,6119042.0,7.638720035552978,10.267922401428224,43.1569938659668,3860.0,38.35162353515625,0.4434563441942693,173.84139427300582,94.1745376586914,2269566.0,57.38889694213867,4.102609999999999,116.53998565673828,244333.0,17.861591339111328,0.056406051796996974,15.256481170654295,194.9737701416016,63577.0,11.729647636413574,NYU_2
0025173_session_1,2.6892454624176025,6188339.0,7.480956554412843,10.87847900390625,44.53605270385742,4410.0,59.427024841308594,0.4394906312746372,197.48492656991647,98.94856262207031,2200269.0,57.755271911621094,3.8597300000000003,113.65865325927734,283440.0,18.047273635864254,0.06736007836674753,15.193063735961914,195.0400848388672,68273.0,11.924797058105467,NYU_2
0025174_session_1,2.27831768989563,5967657.0,6.188154697418213,12.398874282836914,42.637603759765625,3808.0,62.50930404663086,0.4424644252855936,236.6665373142979,86.13983154296875,2420951.0,57.03425216674805,4.05304,108.07693481445312,292873.0,16.394269943237305,0.03331491739555407,17.465131759643555,184.80308532714844,64353.0,14.040775299072266,NYU_2
0025175_session_1,2.409871816635132,6844323.0,6.34556770324707,14.222743034362793,45.23264694213867,4466.0,50.40945816040039,0.3797597022141249,226.11151889521298,90.97892761230469,1544285.0,51.22043228149414,3.6183699999999996,95.63719940185548,208578.0,13.852531433105467,0.08075875437205406,15.07149600982666,185.8885803222656,48894.0,13.071900367736815,NYU_2
0025176_session_1,2.541983127593994,6692212.0,7.76869010925293,11.988285064697266,47.2434196472168,4445.0,58.54113006591797,0.3881214917156018,183.7620764296951,97.69109344482422,1696396.0,57.9760971069336,3.53124,100.3200225830078,262048.0,15.250783920288086,0.060672465247664,12.913376808166506,193.4532928466797,56471.0,12.491474151611328,NYU_2
0025177_session_1,2.749739408493042,6508984.0,7.515547752380371,12.081002235412598,68.71513366699219,3714.0,91.3602066040039,0.40916022033025373,198.119965487544,99.04175567626952,1879624.0,58.96232223510742,3.4154400000000003,104.42570495605469,258274.0,15.37983226776123,0.04705711367549836,13.894623756408693,195.22105407714844,61163.0,11.45380401611328,NYU_2
0025178_session_1,2.4048070907592773,6584841.0,7.3984928131103525,11.908923149108887,54.34272766113281,4187.0,68.98661804199219,0.39814536254000893,195.28116379663783,95.98519897460938,1803767.0,56.54103469848633,3.7880599999999998,102.59278106689452,265150.0,14.330144882202148,0.04546518283433115,13.866713523864744,190.70086669921875,59187.0,12.032855033874512,NYU_2
0025179_session_1,2.6665797233581543,6638937.0,7.709467887878418,12.68857192993164,69.29339599609375,4499.0,100.1686782836914,0.3973946347317733,201.82183857261543,103.29409790039062,1749671.0,59.18111801147461,3.57415,105.69510650634766,278309.0,15.837194442749025,0.062214478010561035,13.709779739379885,203.51724243164062,59968.0,13.029851913452148,NYU_2
0025180_session_1,3.2910535335540767,6413607.0,8.289271354675293,11.522323608398438,56.831764221191406,5308.0,72.799560546875,0.4299333459579961,183.13899951889442,107.66307830810548,1975001.0,59.83405303955078,3.69605,110.01988983154295,306854.0,16.107769012451172,0.06592826782183568,13.272564888000488,205.53155517578125,66247.0,14.561370849609375,NYU_2
0025181_session_1,2.7209644317626958,6536835.0,8.371994972229004,10.672611236572266,48.40567016601562,4267.0,60.869300842285156,0.4016060094810671,174.36703466919343,101.89239501953124,1851773.0,61.74439239501953,3.7383,112.5277099609375,267389.0,16.676637649536133,0.04121214624508649,13.440967559814453,201.87875366210938,58910.0,15.59866428375244,NYU_2
0025182_session_1,2.913227081298828,6640544.0,9.328027725219727,11.300087928771973,79.77752685546875,3569.0,103.0300064086914,0.3981563232795749,177.17710030464184,114.68727111816406,1748064.0,63.96027374267578,3.4938300000000004,119.5983428955078,263479.0,17.059331893920902,0.054538604066172884,12.821396827697756,225.00587463378903,60637.0,13.867778778076172,NYU_2
